Name,verified,location,created_at,description,followers_count,following_count,tweet_count
Rsb366,False,"San Ramon, CA",2018-06-16T02:02:59.000Z,Emergency Medicine Physician,1,9,27
Eamfryoux,False,"Jackson, MS",2018-01-07T00:51:17.000Z,"Blessed wife and mother | Academic Internist, Hospitalist & Medical Weight Management Physician | @UMMCnews | tweets are my own",202,372,182
JohnRMontford,False,"Denver, CO",2017-08-03T20:30:26.000Z,"Nephrologist, Scientist, Dad, native Texan residing in...",452,390,789
ECandella,False,,2012-12-26T16:16:48.000Z,"#epicsketches Custom “Doodles” commercial real estate professional, attorney",153,513,3741
Nana21712443,False,,2019-12-14T12:16:29.000Z,"Child of the Almighty God!!
Pro-Trump Pro-Israel Pro-Life
Pro-2nd Amendment 
Pro- Prayer in School 
Pro- Bible 
Life long Conservative",612,844,48597
FreedomSpartan,False,,2020-12-01T22:05:26.000Z,Freedom Lover- Outspoken-Will Not Comply-Truth Seeker-Nature Lover-Medical Freedom- Independent Voter- Sports Fan,154,388,1608
rfgph,False,,2020-11-21T16:41:56.000Z,Back fighting censors 4 @RealDonaldTrump & to #StopTheSteal 5th Gen Great State of TX - REAL CHEROKEE #FightLikeAFlynn 🇺🇸 💥 #SidneyPowell American Hero #1776,29,85,1535
mandycurrie4,False,Twilight Zone,2020-05-22T09:19:06.000Z,🇬🇧🏴󠁧󠁢󠁥󠁮󠁧󠁿🇺🇸 Welcome to 1984  English Patriot  Animal Lover 🐺 When did Goverment realy care about its people ! Pro Trump Bill Gates is a Psychopath !,700,1193,7182
MommaHoff215,False,"Florida, USA",2015-01-18T19:32:22.000Z,Helping humanity ~Bilingüe #DigitalSolider #GreatAwakening 💥#QPatriot 💪🏼#5D #WWG1WGA  #Godwins🌎❤️ Connecting Consciousness ❤️ ❤️ FL Coordinator ☀️,1141,3053,4090
ww_patriot_co,False,,2020-07-01T23:03:19.000Z,God fearing American Patriot. Constitutionalist. Curator of Patriotic gear at Worldwide Patriot Clothing Co.,888,984,4424
jujuba831,False,,2020-10-19T02:04:46.000Z,"Patriot, warrior, proud supporter of our President Donald J Trump. Follower of 17, WWG1WGA",100,354,5220
realmamorgan,False,Author of Living in the Moment,2012-11-01T05:52:16.000Z,LIVE IN THE MOMENT...AND IN THAT MOMENT I WISH YOU PEACE. Analytical Intuitive Profiler (Psychic),211,181,1902
paullypittsteel,False,Etats-Unis,2013-05-16T03:01:15.000Z,"Love God, Family, Country, Ronald Reagan, and Donald Trump. Pro Constitution 
""Liberalism is a mental disease""
    -Michael Savage",99,265,3454
r_kerr,False,,2009-05-19T14:46:28.000Z,Enjoying life like never before !,27,37,823
Intuition_useit,False,Earth,2020-04-13T18:55:02.000Z,#AriZona 🌵🚀🗿#AAT #artist #designer/creator #MAGA #TrumpWon “Stand back and stand by” @SidneyPowell1 @LLinwood 🇺🇸🇺🇸🇺🇸#neversurrender 🏴,2079,2884,9986
SimplySofia10,False,In The Dome 🤔,2020-07-15T19:41:12.000Z,CSA Survivor❣️#Freedom #1stA #2ndA #SaveTheChildren #PatrioticProudBoys #OneRace #ProLife I❤️my husband! Jesus Is King! #TrumpWon #StopTheSteal,420,249,2187
yah_follow,False,,2020-06-24T20:06:57.000Z,The only way out is the Narrow 🚪🏃‍♀️⏳ it's short ‼,482,718,2163
rallygirlz08,False,,2014-07-18T23:17:25.000Z,"My family is my number one priority.                   

Venmo. rallygirlz08                                         
cashapp.  $rallygirlz",35,176,1621
VaxxHappenedBOT,False,,2019-01-22T00:12:16.000Z,Bot for r/VaxxHappened. Run using IFTTT.,249,3,11625
CivicViewPoint,False,USA,2017-12-21T15:53:32.000Z,"""Blessed is the nation whose God is The Lord.""

#Christian #Conservative #VoteLoeffler #VotePerdue 
#GaGOP #gasen 👣 #ProLife #2A #StopCommonCore #MAGA",4489,4689,9550
Annie4Trump2020,False,None ya...,2016-04-07T06:27:42.000Z,They think we're stupid Demexited~Jesus is my Savior~Time to Fight~Demand TRUTH! #FISAabuse #DurhamInvestigation?? #Covfefe #KAG #MAGA #WalkAway,4028,4059,54255
gr8fllady2,False,USA,2013-09-28T22:29:56.000Z,"Lover of Life, Liberty, and pursuing happiness! 🇺🇸#Freedom 🇺🇸#USA 🇺🇸#KAG 🇺🇸#Maga 🇺🇸 #Trump2020 🇺🇸#DrainTheSwamp 🇺🇸🇺🇸💙 #SaveOurChildren 💙🇺🇸",1087,801,14563
JoseTor09884623,False,,2020-11-06T05:56:54.000Z,,0,12,10
VeryNiagara,False,,2020-04-15T18:37:39.000Z,"❌LOCKDOWN
❌VACCINATIONS
❌ID2020
❌CASHLESS SOCIETY
❌SURVEILLANCE
❌5G
❌ECONOMIC COLLAPSE
❌GOVERNMENT CONTROL
The best cure for the #CoronaVirusHOAX is a RED PILL",429,454,5672
XERDAN_Design,False,Malte,2015-09-11T08:06:57.000Z,"Xerdan Ltd. Co. - Comprehensive Sustainability, Strategic Design, Crises &Emergencies. Veterans. We have Thoughts, not enemies: no time for that. Not endorsing",1286,1195,95923
Eisdus,False,Ireland,2017-06-11T17:19:19.000Z,"""During times of Universal deceit, telling the truth becomes a revolutionary act""",435,720,17970
becca_liberty,False,USA,2017-01-30T02:40:37.000Z,Freethinker & Educator ~Ephesians 6:10-20 #EndHumanTrafficking #SaveOurChildren #BDAD #MolonLabe https://t.co/XzdLEGTGNM,1253,694,13586
JLRoss5,False,United States,2019-11-17T00:43:18.000Z,"Conservative✝️ All Posts Are Made By My Own Views Through Scientific Facts, And Religious BeliefsThis Includes Views On Behalf Of Our Gov Jlross813 parler",3962,3512,97456
ClarenceEmswor2,False,,2020-03-16T20:54:13.000Z,#CrushGlobalism #FreedomNotMarxism #NoSpecialRights #EqualityNow #MAGA2020 #TrumpRulesBidenDrools,498,748,14921
only1nrs,False, ♾Somewhere On Planet Earth.♾,2017-07-01T12:09:56.000Z,"Hack $h!t🙃, was schizophrenic but we're both alright now!!🤔
Two steps forward one step back.
#Fight4YourRight #Freedom",539,813,32695
jerseygurl_23,False,Trump Town,2012-11-30T00:30:15.000Z,"I have not failed...I've just found 10,000 ways that won't work ~ T. Edison #Trump2020 #MAGA 🇺🇸#WWG1WGA💥 #KAG #HandsOffMyGuns #2A #TheBestIsYetToCome 🇺🇸",9603,10084,48182
DonnaMcNab1,False,,2020-07-12T04:23:00.000Z,Rebel,5,56,64
Schmoopy63,False,,2018-08-21T15:32:44.000Z,#MAGA #WWG1WGA,141,167,2803
simplyawakened,False,Oregon🌲,2020-04-27T03:57:22.000Z,"Esther 4:14 ❤️ God loving 🇺🇸 Patriot 🙏🏼 Seeking truth ✨Healing + Prophetic 🌈 Gentle warrior ⚔️ Strong back, soft front wild heart 🛶 Plant medicine 🌱",768,848,3516
de_MontfortStLM,False,Etats-Unis,2012-11-03T15:39:52.000Z,Happily Catholic - Believe defending Sanctity of Life is the Foundation of any civilized society. Anything less is heinous. #ProLife #MAGA ✝️ 🙏 ✝️ 💕 💞  🇺🇸,1012,1838,32352
Cromwell_MM,False,Melbourne,2011-07-10T05:01:31.000Z,"Cromwell McIntosh Montgomery loves walks & playing with other puppies. All Blacks fan, loves tennis Stefan Edberg & Roger Federer. Views belong to the 🐶🐾",811,692,95312
STR1KER,False,The Omniverse,2009-01-06T23:03:43.000Z,"🇺🇲⭐⭐⭐🇺🇲 PROUD DEPLORABLE PATRIOT & DIGITAL SOLDIER.
Parler: @STR1KERW0LF1E",2562,1301,28659
FuTwatter4,False,,2020-08-22T16:41:22.000Z,"This is now my 4th account 🌟🌟🌟I am honored to be followed by @John_F_Kennnedy Parler @Freedom4all

I will block nasty accounts.",811,887,8588
HerqPunish,False,"Michigan, USA",2020-05-28T02:01:12.000Z,"#WWG1WGA #SaveTheLittles 
#Crochet #Bike #Blade #YAH #QSentMe #GreatAwakening",101,224,1263
Bensade,False,"Kensington, MD",2009-01-14T18:54:11.000Z,"Music IP, and international health git me goin. I’m also just a guy, standing in front of my government, sighing in relief for the first time in four years",260,1089,2504
dreamsmth,False,"Minnesota, USA",2011-02-07T08:42:40.000Z,"Self-isolated artist, creator, writer, humorist, instigator. I have opinions and I am always right. Always. lol. READ my book: https://t.co/YDqJjV6Txd.",308,337,24659
monilhshah,False,"Maharashtra, India",2014-10-11T09:20:58.000Z,Software engineer by hobby & software developer by profession. love to learn about spirituality and technology. Last but not least a fitness freak.,81,90,467
bbayer5,False,,2014-03-18T17:48:10.000Z,,91,99,1566
Michkels1,False,United States,2019-12-02T05:07:25.000Z,"Mom to autism, child of God, wife, exhausted, forced insomniac, truth seeker, realist. #VaccineInjuredLivesMatter #VaxWoke #TRUMP2020 #MAGA",1303,2143,23100
BootronJones,False,"New York, NY",2010-06-09T00:56:53.000Z,"Burritos, Hip-Hop, Politics & Cats",155,274,795
timtouring,False,Dorking/Fulham/Portland Oregon,2008-04-25T06:08:33.000Z,Would you like to be - somewhere floating free - Captain Fantasy !!!,467,2864,10161
bfs465,False,,2015-01-10T03:17:21.000Z,"I challenge #racism; #Antisemitism; hard Right political propaganda/incitement & 'hate' politics. I follow human caused #ClimateChange, the media & global news",836,602,68057
ilamarbi,False,"London, England",2020-04-23T12:15:26.000Z,hmu if you look like my profile pic 💁🏽‍♀️🏳️‍🌈 im NOT above 18 😭😭,177,170,2246
candidlymonte,False,"Phoenix, Arizona",2011-09-02T02:37:22.000Z,"Monique, 27 LC 💙 6.13.19 👩‍👦",330,480,5783
Charla_Y,False,"New York, USA",2010-12-29T13:35:09.000Z,"the voices in my head are fighting, my imaginary friend is running with scissors and one of my personalities has wandered off.",81,124,934
Bluedre4m20,False,,2020-03-13T00:59:47.000Z,#staythefuckhome,9,38,535
realNarcissco,False,Îles Caïmans,2020-11-05T13:55:02.000Z,Contemporary Artist. Philosopher. Shepherd. Contrarian Investor. Polymath. 'Imagination is an act of archaeology. Creation is destruction'.,69,201,3168
Annairvin12,False,,2018-07-01T21:55:52.000Z,,39,149,1565
truthisfreedo18,False,,2020-10-27T03:30:31.000Z,"2018 was my original account opening. I block all trolls, government lovers2",360,244,4203
Jantch2,False,Czech Republic,2020-03-07T16:39:13.000Z,"Everything I do, I do with one simple goal. I just want as many people as possible to get along, no matter their differences.",12,12,1175
Gwendol00414949,False,,2020-05-25T05:56:37.000Z,,0,3,10
cerberusfla,False,,2016-06-28T14:40:49.000Z,,4,28,4320
hobys3418,False,MILTOWN,2010-01-13T20:16:08.000Z,(H)ELPING (O)UR (B)EAUTIFUL (Y)OUTH (S)UCCEED,91,471,786
Abubaka18267247,False,,2020-09-21T07:12:37.000Z,"I am a simple and nice man nothing worry me too much because I believe in destiny  (when there's life,there's hope and there's no future for the death!!!",4,67,2
nmlinguaphile,False,"Pecos, NM",2015-05-08T15:06:31.000Z,Native Am. (Taos) linguistic anthropologist. Ph.D (linguistics): U. of Chi.& Ph.D. (anthropology): U. of AZ. Specialty: Native Am languages & anthropology,10537,1598,65786
TravisDrago,False,Grand Falls Windsor,2009-06-17T20:46:46.000Z,I am what I am and I don't give a damn a straight fighter who always fights the wars worth fighting. Terra Nova O’meurte,217,1886,7039
5f4d7bb000e0435,False,,2015-06-02T01:12:51.000Z,,0,46,111
TwitizenDrump,False,"Baltimore, MD",2015-02-01T01:20:57.000Z,"An independent hater of lowest common denominator democracy.   “the best tests for me, none for thee”",7,25,346
TruthsSword1,False,Pray without ceasing...pray,2020-03-20T13:37:59.000Z,"I witness for the Truth and Yahshua is my redeemer. We do not give consent to evil: Freedom in Christ.

""God is love....bible.com/bible/116/1JN.…",402,169,9050
GonzalezRyu,False,,2015-06-30T14:50:09.000Z,"Father, Grandfather, Ghost from the Past, Martial Artist and Warrior. Nahua/Maya/Yaqui and Karen/Filipino. Yes i speak my mind.",387,1969,25636
MikeDaddyByrne1,False,,2016-08-14T21:06:31.000Z,,0,13,51
IN144ITY,False,Earth,2020-03-25T05:40:37.000Z,"what have we forgotten..
who will remember.",303,480,3071
1972patriot,False,The Land of Cotton,2011-11-22T18:00:49.000Z,"Small bands of Patriots operated independently at first, then groups would join together, realizing there was strength in numbers. ΜΟΛΩΝ ΛΑΒΕ",5623,5346,79210
LauraDor88,False,"Wolverhampton, England",2011-01-18T20:52:32.000Z,"unless you've been through what I have, don't start to judge me",31,191,227
LRalphs,False,Aberdeen,2009-04-26T13:21:41.000Z,Budding Golfer,55,318,4033
esau72x,False,undisclosed,2012-12-04T03:49:48.000Z,x,446,1640,2175
Faith_By_Works,False,,2020-03-09T05:38:24.000Z,Christian Activist working on introducing ALL people to the  Historical Jesus of the 4 Gospels.  Encouraging others to follow the TRUE Jesus and His Teachings.,874,637,2270
Koreanfalsechar,False,,2010-11-19T01:13:53.000Z,"ノーベル医学生理学賞本庶 佑博士曰く「新型コロナは死亡率0．2％なので、自粛は不要」
https://t.co/huMbKI4WMs
マスクから飛沫がだだ漏れ
https://t.co/jGyNrVuY2Z",162,205,3078
JanetFl62837788,False,,2020-12-18T16:56:20.000Z,,0,5,6
Maraismara1,False,,2020-12-07T23:29:08.000Z,I'M WAITING FOR A FUK TO FALL OUT OF THE SKY SO I CAN GIVE IT TO U! :),7,98,111
carter124f,False,,2015-12-12T20:33:42.000Z,,6,62,236
juju72193477,False,,2019-11-03T07:13:32.000Z,Wife and mommy,1,58,15
jacklowry3,False,,2020-12-14T23:13:23.000Z,,0,11,26
robnanza3,False,Etats-Unis,2011-12-25T21:56:40.000Z,"Vietnam Vet. 
We are helping people become pain free as they regain optimal health.
Paypal: https://t.co/VbQEjEmQVn",249,641,7213
ErtlKel,False,NWPA,2020-11-06T08:11:12.000Z,,1,29,65
screamernyc,False,Manhattan NY,2008-09-25T16:13:38.000Z,"Community agitator, former adjunct professor and health insurance expert... Personal Quote: “What, me throw a baseball like an Indonesian girl?”",102,564,9607
Thick_of_Things,False,"Bay Area, CA",2011-02-13T17:59:54.000Z,"Just passing through, thought I'd say, ”Hello.”",368,1457,2656
ChtsfSam,False,"San Francisco, CA",2014-10-04T03:24:00.000Z,,0,6,20
Leslie49654098,False,,2020-09-23T18:19:53.000Z,,88,598,2799
DirtyOrta,False,United States,2012-02-28T23:18:29.000Z,"if I rid of my demons, I’d have no angels*",9,55,157
AmyMill57932772,False,,2018-07-27T15:25:29.000Z,,4,7,872
sr_dga,False,,2016-07-29T12:07:53.000Z,Business & Finance News Technology & Science Government & Politics US & World News,6,45,302
Sunlove71194249,False,,2020-11-09T02:18:18.000Z,"Mother,wife,Jesus Freak",0,22,9
19snoopy55,False,"Centralia, IL",2009-11-05T01:20:44.000Z,Piss me off and I'll slap you so hard even GOOGLE won't be able to find you!!!,147,7,19465
deshilde,False,,2020-03-18T22:44:30.000Z,I am Now On...,2,82,62
KushDragoon,False,,2012-02-18T15:07:08.000Z,,21,36,673
Lisa22186735,False,,2020-12-02T21:39:22.000Z,,1,63,20
